name,smiles,inchi,mass,Ethyl,Aldehydes,Carbonyl,Peroxide,Pan
EBFUOOH,CCC1OC(=O)C(OO)C1O,"InChI=1S/C6H10O5/c1-2-3-4(7)5(11-9)6(8)10-3/h3-5,7,9H,2H2,1H3",162.1406,5,0,1,1,0
EBFUOH,CCC1OC(=O)C(O)C1O,"InChI=1S/C6H10O4/c1-2-3-4(7)5(8)6(9)10-3/h3-5,7-8H,2H2,1H3",146.1412,5,0,1,0,0
EBFUCO,CCC1OC(=O)C(=O)C1O,"InChI=1S/C6H8O4/c1-2-3-4(7)5(8)6(9)10-3/h3-4,7H,2H2,1H3",144.1253,5,0,2,0,0
C5OCCOHCO,CCC([O])C(O)C=O,"InChI=1S/C5H9O3/c1-2-4(7)5(8)3-6/h3-5,8H,2H2,1H3",117.1232,4,1,0,0,0
C5OCCOHOOH,CCC(OO)C(O)C=O,"InChI=1S/C5H10O4/c1-2-5(9-8)4(7)3-6/h3-5,7-8H,2H2,1H3",134.1305,4,1,0,1,0
C5OCCOHCOH,CCC(O)C(O)C=O,"InChI=1S/C5H10O3/c1-2-4(7)5(8)3-6/h3-5,7-8H,2H2,1H3",118.1311,4,1,0,0,0
C5OCCOHNO3,CCC(ON(=O)=O)C(O)C=O,"InChI=1S/C5H9NO5/c1-2-5(4(8)3-7)11-6(9)10/h3-5,8H,2H2,1H3",163.1287,4,1,0,0,0
C5CONO3O2,CCC(O[O])C(C=O)ON(=O)=O,"InChI=1S/C5H8NO6/c1-2-4(12-10)5(3-7)11-6(8)9/h3-5H,2H2,1H3",178.1201,4,1,0,1,0
NEBFUO,CCC1OC(=O)C([O])C1ON(=O)=O,"InChI=1S/C6H8NO6/c1-2-3-5(13-7(10)11)4(8)6(9)12-3/h3-5H,2H2,1H3",190.1308,5,0,1,0,0
NEBFUOOH,CCC1OC(=O)C(OO)C1ON(=O)=O,"InChI=1S/C6H9NO7/c1-2-3-4(13-7(9)10)5(14-11)6(8)12-3/h3-5,11H,2H2,1H3",207.1382,5,0,1,1,0
NEBFUO2,CCC1OC(=O)C(O[O])C1ON(=O)=O,"InChI=1S/C6H8NO7/c1-2-3-4(13-7(9)10)5(14-11)6(8)12-3/h3-5H,2H2,1H3",206.1302,5,0,1,1,0
C5CONO3O,CCC([O])C(C=O)ON(=O)=O,"InChI=1S/C5H8NO5/c1-2-4(8)5(3-7)11-6(9)10/h3-5H,2H2,1H3",162.1207,4,1,0,0,0
C5ONO3OOH,CCC(OO)C(C=O)ON(=O)=O,"InChI=1S/C5H9NO6/c1-2-4(12-10)5(3-7)11-6(8)9/h3-5,10H,2H2,1H3",179.1281,4,1,0,1,0
